route_id,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,distance,average_hours
Alabama_Alaska_5878,Alabama,Alaska,42.998,-78.185,16.559,-93.973,2045.33,40.91
Alabama_Arizona_3285,Alabama,Arizona,42.998,-78.185,15.633,-87.317,1960.92,39.22
Alabama_Arkansas_City_27415,Alabama,Arkansas City,42.998,-78.185,37.062,-97.038,1077.52,21.55
Alabama_California_City_74551,Alabama,California City,42.998,-78.185,35.126,-117.985,2186.33,43.73
Alabama_Colorado_Springs_3995,Alabama,Colorado Springs,42.998,-78.185,38.834,-104.821,1417.26,28.35
Alabama_Stamford_59056,Alabama,Stamford,42.998,-78.185,41.053,-73.539,274.13,5.48
Alabama_Delaware_785,Alabama,Delaware,42.998,-78.185,40.299,-83.068,313.89,6.28
Alabama_Floridablanca_90072,Alabama,Floridablanca,42.998,-78.185,7.065,-73.09,2493.25,49.86
Alabama_Tbilisi_25348,Alabama,Tbilisi,42.998,-78.185,41.725,44.791,5609.5,112.19
Alabama_Hawaiian_Gardens_30330,Alabama,Hawaiian Gardens,42.998,-78.185,33.831,-118.072,2231.91,44.64
Alabama_Idaho_Falls_67035,Alabama,Idaho Falls,42.998,-78.185,43.467,-112.033,1696.94,33.94
Alabama_Illinois_City_98813,Alabama,Illinois City,42.998,-78.185,41.381,-90.897,661.29,13.23
Alabama_Indianapolis_78402,Alabama,Indianapolis,42.998,-78.185,39.768,-86.158,470.26,9.41
Alabama_Iowa_City_99293,Alabama,Iowa City,42.998,-78.185,41.661,-91.53,688.91,13.78
Alabama_Kansas_City_28454,Alabama,Kansas City,42.998,-78.185,39.114,-94.627,897.96,17.96
Alabama_Kentucky_25916,Alabama,Kentucky,42.998,-78.185,-28.233,19.4,7874.83,157.5
Alabama_Louisiana_3566,Alabama,Louisiana,42.998,-78.185,39.441,-91.055,713.2,14.26
Alabama_Maine-Soroa_85756,Alabama,Maine-Soroa,42.998,-78.185,13.218,12.027,5615.56,112.31
Alabama_Maryland_Heights_3089,Alabama,Maryland Heights,42.998,-78.185,38.713,-90.43,705.5,14.11
Alabama_Worcester_12515,Alabama,Worcester,42.998,-78.185,42.263,-71.803,329.14,6.58
Alabama_Michigan_City_61321,Alabama,Michigan City,42.998,-78.185,41.708,-86.895,454.49,9.09
Alabama_Minnesota_City_40280,Alabama,Minnesota City,42.998,-78.185,44.088,-91.744,684.27,13.69
Alabama_Mississippi_State_9005,Alabama,Mississippi State,42.998,-78.185,33.458,-88.786,873.53,17.47
Alabama_Missouri_City_44822,Alabama,Missouri City,42.998,-78.185,29.618,-95.538,1332.37,26.65
Alabama_Montana_42535,Alabama,Montana,42.998,-78.185,43.413,23.225,4757.91,95.16
Alabama_Nebraska_City_53072,Alabama,Nebraska City,42.998,-78.185,40.675,-95.862,924.53,18.49
Alabama_Nevada_91757,Alabama,Nevada,42.998,-78.185,42.018,-93.451,781.47,15.63
Alabama_New_Hampshire_75021,Alabama,New Hampshire,42.998,-78.185,40.558,-83.954,342.19,6.84
Alabama_Jersey_City_52227,Alabama,Jersey City,42.998,-78.185,40.728,-74.078,263.46,5.27
Alabama_New_Mexico_71645,Alabama,New Mexico,42.998,-78.185,-30.733,150.6,9651.62,193.03
Alabama_New_York_52450,Alabama,New York,42.998,-78.185,40.714,-74.006,267.04,5.34
Alabama_Carolina_93750,Alabama,Carolina,42.998,-78.185,-26.067,30.117,8315.15,166.3
Alabama_Dakota_56716,Alabama,Dakota,42.998,-78.185,43.91,-91.356,664.67,13.29
Alabama_Ohio_80274,Alabama,Ohio,42.998,-78.185,41.603,-89.453,584.86,11.7
Alabama_Oklahoma_City_64340,Alabama,Oklahoma City,42.998,-78.185,35.468,-97.516,1156.15,23.12
Alabama_Oregon_City_87598,Alabama,Oregon City,42.998,-78.185,45.358,-122.606,2185.1,43.7
Alabama_Pennsylvania_Furnace_20663,Alabama,Pennsylvania Furnace,42.998,-78.185,40.726,-77.946,157.29,3.15
Alabama_Island_Park_95262,Alabama,Island Park,42.998,-78.185,41.623,-71.228,368.7,7.37
Alabama_South_Dakota_Park_35122,Alabama,South Dakota Park,42.998,-78.185,45.418,-96.701,932.44,18.65
Alabama_Tennessee_29842,Alabama,Tennessee,42.998,-78.185,40.425,-90.799,675.3,13.51
Alabama_Texas_City_39759,Alabama,Texas City,42.998,-78.185,29.384,-94.903,1319.56,26.39
Alabama_Utah_Pur_96838,Alabama,Utah Pur,42.998,-78.185,34.099,67.671,6705.03,134.1
Alabama_Vermont_42581,Alabama,Vermont,42.998,-78.185,40.295,-90.431,660.09,13.2
Alabama_Virginia_Beach_3463,Alabama,Virginia Beach,42.998,-78.185,36.853,-75.978,439.82,8.8
Alabama_Washington_18899,Alabama,Washington,42.998,-78.185,38.895,-77.037,289.42,5.79
Alabama_West_Virginia_Central_Junction_16280,Alabama,West Virginia Central Junction,42.998,-78.185,39.471,-79.061,247.63,4.95
Alabama_Wisconsin_Rapids_14718,Alabama,Wisconsin Rapids,42.998,-78.185,44.384,-89.817,589.99,11.8
Alabama_Wyoming_63622,Alabama,Wyoming,42.998,-78.185,42.913,-85.705,381.21,7.62
Alaska_Alabama_33162,Alaska,Alabama,16.559,-93.973,42.998,-78.185,2045.33,40.91
